page,title,search_intent,product_or_scope,suggested_next_step,evidence
guides/infosys-interview-questions-freshers.html,Infosys interview questions for freshers: practice guide,Interview preparation and answer examples,Prep,/prep/,Intent inferred from page content; no search-volume or Search Console data
guides/reason-for-job-change.html,Reason for job change: what to say in interviews (2026),Interview preparation and answer examples,Prep,/prep/,Intent inferred from page content; no search-volume or Search Console data
guides/salary-expectation-answer.html,"“What are your salary expectations?”: how to answer (India, 2026)",Interview preparation and answer examples,Prep,/prep/,Intent inferred from page content; no search-volume or Search Console data
guides/self-introduction-interview-hinglish.html,Self-introduction for interviews: English & Hinglish (2026),Interview preparation and answer examples,Prep,/prep/,Intent inferred from page content; no search-volume or Search Console data
guides/strengths-and-weaknesses-interview.html,Strengths and weaknesses for interviews: real answers (2026),Interview preparation and answer examples,Prep,/prep/,Intent inferred from page content; no search-volume or Search Console data
guides/tcs-infosys-wipro-hr-interview-questions.html,"TCS, Infosys and Wipro HR interview questions: practice answers",Interview preparation and answer examples,Prep,/prep/,Intent inferred from page content; no search-volume or Search Console data
guides/tcs-interview-questions-freshers.html,TCS interview questions for freshers: NQT practice guide,Interview preparation and answer examples,Prep,/prep/,Intent inferred from page content; no search-volume or Search Console data
guides/why-should-we-hire-you.html,“Why should we hire you?”: answers that work (2026),Interview preparation and answer examples,Prep,/prep/,Intent inferred from page content; no search-volume or Search Console data
guides/wipro-interview-questions-freshers.html,Wipro interview questions for freshers: Elite and Turbo practice,Interview preparation and answer examples,Prep,/prep/,Intent inferred from page content; no search-volume or Search Console data
help.html,Interview Sarthi: Help,"Live interview assistance, setup or comparison",Live,/live/,Intent inferred from page content; no search-volume or Search Console data
hinglish-interview-help.html,Hinglish interview help: live AI answers during the call,"Live interview assistance, setup or comparison",Live,/live/,Intent inferred from page content; no search-volume or Search Console data
hr-interview-questions-hinglish.html,10 HR interview questions with Hinglish answers (2026),Interview preparation and answer examples,Prep,/prep/,Intent inferred from page content; no search-volume or Search Console data
index.html,"AI Interview Assistant, Mock Interviews & Job Search | InterviewSarthi",Brand and three-product discovery,All three,"Choose Apply, Prep or Live",Intent inferred from page content; no search-volume or Search Console data
live/index.html,Live Sarthi — AI Interview Assistant for Windows | InterviewSarthi,"Live interview assistance, setup or comparison",Live,/live/,Intent inferred from page content; no search-volume or Search Console data
online-interview-tips.html,How to stop blanking out in online interviews (9 fixes),Interview preparation and answer examples,Prep,/prep/,Intent inferred from page content; no search-volume or Search Console data
prep/ai-mock-interview-price-india.html,AI Mock Interview Prices in India: Free Trials & Paid Plans,Mock interview practice or plan comparison,Prep,/prep/app/,Intent inferred from page content; no search-volume or Search Console data
prep/capgemini-mock-interview.html,Capgemini mock interview practice from your CV | Prep Sarthi,Mock interview practice or plan comparison,Prep,/prep/app/,Intent inferred from page content; no search-volume or Search Console data
prep/cognizant-genc-mock-interview.html,Cognizant GenC mock interview practice from your CV | Prep Sarthi,Mock interview practice or plan comparison,Prep,/prep/app/,Intent inferred from page content; no search-volume or Search Console data
prep/index.html,AI Mock Interview from Your CV & Job Description | Prep Sarthi,Mock interview practice or plan comparison,Prep,/prep/app/,Intent inferred from page content; no search-volume or Search Console data
prep/infosys-mock-interview.html,Infosys mock interview practice from your CV | Prep Sarthi,Mock interview practice or plan comparison,Prep,/prep/app/,Intent inferred from page content; no search-volume or Search Console data
prep/mock-interview-from-resume.html,AI Mock Interview from Your Resume: CV + Job Description | Prep Sarthi,Mock interview practice or plan comparison,Prep,/prep/app/,Intent inferred from page content; no search-volume or Search Console data
prep/tcs-nqt-mock-interview.html,TCS mock interview practice from your CV | Prep Sarthi,Mock interview practice or plan comparison,Prep,/prep/app/,Intent inferred from page content; no search-volume or Search Console data
privacy.html,Interview Sarthi: Privacy Policy,"Brand identity, policies and trust",All three,Relevant product or support,Intent inferred from page content; no search-volume or Search Console data
refunds.html,Interview Sarthi: Refund Policy,"Brand identity, policies and trust",All three,Relevant product or support,Intent inferred from page content; no search-volume or Search Console data
terms.html,Interview Sarthi: Terms of Service,"Brand identity, policies and trust",All three,Relevant product or support,Intent inferred from page content; no search-volume or Search Console data
vs-cluely.html,Interview Sarthi vs Cluely: Pricing and Trade-offs,"Live interview assistance, setup or comparison",Live,/live/,Intent inferred from page content; no search-volume or Search Console data
vs-final-round-ai.html,Interview Sarthi vs Final Round AI: Pricing and Trade-offs,"Live interview assistance, setup or comparison",Live,/live/,Intent inferred from page content; no search-volume or Search Console data
vs-lockedin-ai.html,Interview Sarthi vs LockedIn AI: Pricing and Trade-offs,"Live interview assistance, setup or comparison",Live,/live/,Intent inferred from page content; no search-volume or Search Console data
vs-ophyai.html,Interview Sarthi vs OphyAI: Pricing and Trade-offs,"Live interview assistance, setup or comparison",Live,/live/,Intent inferred from page content; no search-volume or Search Console data
vs-parakeet-ai.html,Interview Sarthi vs Parakeet AI: Pricing and Trade-offs,"Live interview assistance, setup or comparison",Live,/live/,Intent inferred from page content; no search-volume or Search Console data
